ReadID,PartialType
841_Z2SFTS_1,partial_P7
842_Z2SFTS_1,both_partial
844_Z2SFTS_1,partial_P5
847_Z2SFTS_1,partial_P5
848_Z2SFTS_1,partial_P7
849_Z2SFTS_1,partial_P5
851_Z2SFTS_1,partial_P7
852_Z2SFTS_1,partial_P7
853_Z2SFTS_1,partial_P7
854_Z2SFTS_1,partial_P7
856_Z2SFTS_1,partial_P7
857_Z2SFTS_1,partial_P5
859_Z2SFTS_1,partial_P7
860_Z2SFTS_1,partial_P5
861_Z2SFTS_1,partial_P5
862_Z2SFTS_1,partial_P5
863_Z2SFTS_1,partial_P5
865_Z2SFTS_1,both_partial
866_Z2SFTS_1,partial_P5
868_Z2SFTS_1,partial_P7
871_Z2SFTS_1,partial_P7
872_Z2SFTS_1,partial_P7
873_Z2SFTS_1,both_partial
874_Z2SFTS_1,partial_P5
875_Z2SFTS_1,partial_P5
881_Z2SFTS_1,partial_P7
882_Z2SFTS_1,partial_P5
886_Z2SFTS_1,partial_P5
891_Z2SFTS_1,partial_P5
894_Z2SFTS_1,partial_P5
896_Z2SFTS_1,partial_P5
898_Z2SFTS_1,partial_P5
899_Z2SFTS_1,partial_P7
900_Z2SFTS_1,partial_P5
901_Z2SFTS_1,partial_P5
902_Z2SFTS_1,both_partial
903_Z2SFTS_1,both_partial
906_Z2SFTS_1,partial_P5
907_Z2SFTS_1,partial_P5
908_Z2SFTS_1,partial_P7
909_Z2SFTS_1,partial_P7
912_Z2SFTS_1,partial_P7
914_Z2SFTS_1,partial_P5
916_Z2SFTS_1,both_partial
917_Z2SFTS_1,partial_P5
921_Z2SFTS_1,partial_P5
922_Z2SFTS_1,partial_P7
923_Z2SFTS_1,both_partial
924_Z2SFTS_1,partial_P5
925_Z2SFTS_1,partial_P5
926_Z2SFTS_1,partial_P5
927_Z2SFTS_1,partial_P7
929_Z2SFTS_1,partial_P5
930_Z2SFTS_1,partial_P7
932_Z2SFTS_1,both_partial
933_Z2SFTS_1,partial_P5
934_Z2SFTS_1,both_partial
936_Z2SFTS_1,partial_P7
939_Z2SFTS_1,partial_P5
940_Z2SFTS_1,both_partial
941_Z2SFTS_1,partial_P7
944_Z2SFTS_1,partial_P5
946_Z2SFTS_1,partial_P5
947_Z2SFTS_1,both_partial
948_Z2SFTS_1,partial_P5
949_Z2SFTS_1,partial_P5
950_Z2SFTS_1,partial_P5
953_Z2SFTS_1,partial_P5
954_Z2SFTS_1,partial_P5
955_Z2SFTS_1,partial_P5
956_Z2SFTS_1,partial_P5
957_Z2SFTS_1,partial_P7
958_Z2SFTS_1,partial_P5
959_Z2SFTS_1,partial_P7
961_Z2SFTS_1,partial_P5
962_Z2SFTS_1,partial_P7
964_Z2SFTS_1,partial_P5
965_Z2SFTS_1,partial_P5
966_Z2SFTS_1,partial_P5
967_Z2SFTS_1,partial_P5
968_Z2SFTS_1,partial_P5
969_Z2SFTS_1,partial_P5
970_Z2SFTS_1,partial_P5
971_Z2SFTS_1,partial_P7
972_Z2SFTS_1,partial_P7
973_Z2SFTS_1,partial_P5
974_Z2SFTS_1,partial_P5
975_Z2SFTS_1,partial_P5
976_Z2SFTS_1,partial_P7
979_Z2SFTS_1,partial_P5
983_Z2SFTS_1,partial_P5
985_Z2SFTS_1,partial_P5
986_Z2SFTS_1,partial_P7
987_Z2SFTS_1,partial_P5
988_Z2SFTS_1,partial_P5
989_Z2SFTS_1,partial_P5
990_Z2SFTS_1,partial_P5
991_Z2SFTS_1,partial_P5
992_Z2SFTS_1,partial_P5
993_Z2SFTS_1,partial_P5
994_Z2SFTS_1,partial_P5
998_Z2SFTS_1,partial_P5
999_Z2SFTS_1,partial_P5
1000_Z2SFTS_1,partial_P5
1002_Z2SFTS_1,partial_P5
1003_Z2SFTS_1,partial_P5
1004_Z2SFTS_1,both_partial
1005_Z2SFTS_1,partial_P5
1006_Z2SFTS_1,partial_P5
1007_Z2SFTS_1,partial_P5
1008_Z2SFTS_1,partial_P5
1009_Z2SFTS_1,partial_P5
1010_Z2SFTS_1,partial_P7
1011_Z2SFTS_1,partial_P5
1012_Z2SFTS_1,partial_P7
1013_Z2SFTS_1,partial_P5
1014_Z2SFTS_1,partial_P5
1015_Z2SFTS_1,partial_P5
1016_Z2SFTS_1,partial_P5
1017_Z2SFTS_1,partial_P5
1018_Z2SFTS_1,partial_P5
1020_Z2SFTS_1,partial_P5
1021_Z2SFTS_1,partial_P5
1023_Z2SFTS_1,partial_P5
1024_Z2SFTS_1,partial_P7
1025_Z2SFTS_1,partial_P5
1026_Z2SFTS_1,partial_P7
1027_Z2SFTS_1,partial_P7
1028_Z2SFTS_1,partial_P5
1029_Z2SFTS_1,partial_P5
1030_Z2SFTS_1,partial_P5
1031_Z2SFTS_1,partial_P5
1032_Z2SFTS_1,partial_P5
1033_Z2SFTS_1,partial_P7
1034_Z2SFTS_1,partial_P7
1035_Z2SFTS_1,partial_P5
1036_Z2SFTS_1,partial_P5
1037_Z2SFTS_1,partial_P7
1038_Z2SFTS_1,partial_P7
1039_Z2SFTS_1,partial_P5
